,AMT,AIV,AVB,BXP,CBG,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,GGP,HCP,HST,IRM,KIM,MAC,MAA,PLD,PSA,REG,SPG,SLG,UDR,VTR,VNO,HCN,WY
0,75.9737,27.5773,128.5536,104.0949,21.8822,70.5922,66.0388,218.1287,55.3337,151.9378,40.1301,106.5406,20.1493,46.367,16.505,34.3106,21.1577,61.4798,65.4221,39.7224,156.9927,50.8052,161.6633,80.8674,23.5211,66.3946,83.9211,61.8124,30.912
1,75.8984,27.4844,127.0645,104.314,23.8091,70.2764,65.3194,213.9004,54.717,150.6074,40.092,107.0056,20.0525,46.4675,16.4996,34.5731,21.1892,61.5628,65.9942,39.5386,156.242,50.9442,161.14,80.9523,23.3398,66.6294,83.4476,61.9139,30.2126
2,76.7271,28.3165,128.7336,104.7492,24.1097,70.7373,65.368,218.9305,55.5177,151.6471,40.184,107.4734,20.025,46.6763,16.647,34.2998,21.4126,61.3437,66.3006,39.4134,157.0382,51.2307,162.2475,81.5061,23.5768,67.1296,84.2268,62.2258,30.0883
3,76.4646,28.8746,129.897,105.0725,24.1041,70.2407,65.1692,218.3389,56.2612,152.1455,40.5403,107.4323,20.1701,46.912,16.9022,34.0678,21.4587,61.4985,67.0644,39.3589,157.1898,51.2554,163.1468,81.7161,23.7681,67.7222,84.8424,62.356,30.0943
4,75.8667,28.9984,130.1744,106.5203,24.3053,68.8693,65.4108,214.6433,57.0809,152.2981,40.4391,108.6587,20.1167,46.8693,17.1454,34.362,21.5348,61.7791,67.1916,39.5588,156.8783,51.5119,162.9344,82.6796,24.0687,68.0175,85.4054,62.5505,30.2661
5,74.195,28.866,130.4076,107.0596,24.559,67.7706,65.6074,211.0268,57.5152,152.7537,40.1174,109.2964,20.0391,47.2704,17.1712,34.5348,21.5323,61.8359,67.3181,39.551,156.0355,51.6424,162.2489,82.6716,24.2592,68.0441,85.5772,62.828,30.5129
6,73.5883,28.9174,130.2257,106.9748,24.673,66.8935,65.5171,226.2095,57.6319,152.683,39.7527,108.6595,19.8082,47.1624,17.1504,34.561,21.526,61.689,67.6593,39.2365,154.855,51.5069,161.2027,82.1518,24.3487,67.8594,85.0252,62.4897,30.3401
7,74.5677,29.0212,129.8873,107.0861,24.293,67.5285,63.9114,226.0132,57.4436,151.999,38.5027,108.4469,19.9546,47.6323,17.1358,34.6412,21.6913,61.6066,67.9442,38.8923,151.1918,51.6791,159.5873,82.4687,24.4133,69.1003,84.9636,62.8884,30.5593
8,74.4378,29.3894,130.0982,107.0015,24.3403,67.0721,63.7003,219.504,57.4878,153.1618,38.3227,108.9843,19.9585,47.9903,17.2205,34.7546,21.7825,61.8291,68.4131,39.4315,152.0997,51.8108,160.2429,83.1711,24.7512,69.0196,85.428,63.6333,30.6902
9,74.2087,29.8301,130.3914,107.136,24.0518,67.2555,65.7343,218.8556,57.638,153.4486,38.5955,109.188,20.0909,48.2437,17.0801,34.8499,21.7215,61.2933,69.1148,39.428,153.2585,52.0663,160.2811,82.7636,25.0313,69.6186,85.2663,64.2639,30.2233
10,73.9073,29.5888,128.1904,105.5462,23.6255,67.652,66.0458,213.5676,57.1302,151.556,37.907,107.6776,19.547,48.0966,16.6008,34.2263,21.3988,60.4963,69.0167,38.8637,151.9404,51.0658,158.0447,81.4392,24.818,69.568,84.238,63.9746,29.2687
11,74.5044,29.7595,128.5011,106.1724,23.8013,69.518,66.8173,210.7478,57.2322,151.5262,37.9909,107.8274,19.6019,48.5204,16.8011,34.5463,21.6577,60.5959,69.3873,39.2316,152.7182,51.4763,159.3232,81.5712,24.7862,69.9925,85.1147,64.5092,29.5406
12,74.5596,29.6901,127.4932,104.8603,23.7044,70.3219,66.8298,212.9006,56.4744,150.6074,37.7267,106.9722,19.3792,48.0739,16.7314,34.4403,21.4176,59.9373,69.0344,38.7037,150.95,50.8368,158.4446,80.8582,24.6082,69.4089,84.127,63.9339,29.3294
13,75.3554,29.5446,126.1833,104.0601,23.3634,69.7904,66.2206,212.2745,55.9835,149.806,36.9371,106.0511,19.1991,48.0852,16.6104,34.54,21.3409,59.6043,68.9458,38.3451,150.8099,50.7871,157.6709,80.5775,24.2685,69.3698,83.0188,62.9478,29.1855
14,77.1655,29.5447,126.363,104.1171,23.7912,70.1231,66.0667,213.2516,56.0204,150.0382,37.4554,107.1113,19.2989,48.6694,16.7362,34.9211,21.7672,60.3999,69.6502,38.6978,152.0844,51.6148,158.8577,81.0596,24.314,70.1073,82.7214,63.8909,29.6011
15,77.7799,29.6565,125.2476,103.9759,24.2295,70.1097,66.8102,212.0379,55.2806,149.3393,37.5353,106.4669,19.192,48.9349,16.723,34.4406,21.8132,60.2786,69.4704,38.9836,151.4916,51.8113,159.0946,81.6653,23.9887,70.8133,80.7359,64.2845,29.5273
16,77.9171,29.5995,125.2375,102.9428,24.3363,70.0229,67.3176,211.598,55.1667,148.2111,37.369,105.5715,19.4698,48.836,16.6082,34.5168,21.7265,59.8981,69.6432,39.0737,151.5547,51.6675,159.3916,81.9627,23.8471,70.9033,80.0089,64.2152,29.4468
17,78.5273,29.8792,126.159,104.1049,24.4517,70.7243,67.7983,211.8979,55.5183,148.2957,38.164,106.1573,19.8407,49.3898,16.6125,34.4778,21.8823,60.4665,69.2577,39.5466,152.7363,52.2403,161.2768,82.7523,23.9741,71.572,81.0765,65.2594,29.846
18,78.6803,30.2485,126.9233,105.1231,24.7606,71.5159,68.0561,216.6989,56.102,149.9398,39.13,107.5314,19.9819,49.563,16.6135,34.9656,22.1858,61.2669,69.1709,39.936,153.6226,53.0378,162.3628,82.9441,24.2701,71.7372,83.66,65.4973,30.3845
19,77.9111,30.4376,126.3821,104.9274,24.5891,72.1471,68.2271,217.2997,56.2458,150.353,39.2466,107.6032,20.1254,49.4659,16.5385,34.9363,22.2004,61.5879,68.8148,39.8329,152.7707,53.3074,162.0042,83.3795,24.3613,70.8405,83.2668,65.4495,30.3759
20,77.535,30.3516,125.3216,104.2148,24.5078,72.1715,68.1063,215.5801,55.6689,149.912,39.1713,107.3995,19.8709,49.2075,16.5406,34.7249,22.1416,62.114,68.6886,39.5364,150.9693,53.2362,160.6231,84.0087,24.4188,70.9612,83.182,65.2878,30.156
21,77.1453,30.2686,123.969,102.9512,24.5326,71.8022,68.3561,216.7199,54.9149,149.1303,39.091,106.5086,19.7703,48.8839,16.7283,34.8138,22.067,62.0543,68.2616,39.1603,150.0203,53.1592,159.5212,84.3731,24.3994,70.3143,84.1656,65.1132,30.1523
22,76.8499,30.2253,123.5986,103.5393,25.0309,71.5514,68.446,217.4936,54.6916,149.4615,38.7718,106.0297,19.8819,48.8745,17.1479,35.4906,21.9548,62.0666,68.0546,39.1122,149.0663,52.898,160.2999,85.0557,24.4477,70.4242,84.4593,65.2507,30.3627
23,76.2805,30.0867,124.8065,104.3472,25.2042,70.9039,68.3419,215.347,55.046,149.4344,38.8227,104.9897,20.0105,49.0049,17.2533,36.1808,21.9372,61.8945,67.9282,38.8858,147.4552,52.5957,159.7294,85.1896,24.2199,70.4583,83.8398,65.0993,30.29
24,76.0472,30.0081,126.4822,104.8844,25.2601,70.9047,67.7401,214.6653,55.4175,149.6453,38.294,104.9351,19.9246,48.8579,17.2956,36.3143,21.9016,61.8631,68.0622,39.09,146.6224,52.6339,159.4296,85.6835,24.262,70.3388,83.2569,64.9409,30.2247
25,76.4716,30.6231,128.6065,105.6079,25.2396,71.0611,68.1677,214.6169,56.3024,151.091,38.0901,104.9883,19.9014,49.0338,17.4613,36.5033,22.0795,62.263,68.9845,39.0317,147.2063,52.9502,159.805,86.0537,24.3897,70.676,83.4119,65.2319,30.7201
26,75.634,30.721,128.3452,105.0159,24.93,70.1981,67.5702,211.0799,56.1176,152.183,38.0646,105.0758,19.8834,48.6809,17.6407,36.2817,21.9951,62.495,69.76,38.8049,147.725,52.6574,159.3844,85.9044,24.6007,70.4974,83.311,65.3854,30.5858
27,75.1035,30.4296,126.9811,104.6174,25.0199,69.6711,67.0271,207.004,55.5718,151.6718,38.2583,104.6483,19.8168,48.427,17.4005,36.3036,21.9404,62.2738,70.4039,38.4888,148.2514,52.6327,158.6418,85.6039,24.417,70.1312,82.7036,65.4246,30.1955
28,74.5088,30.2623,126.3237,103.404,24.6111,69.9354,66.3091,206.9197,55.0328,151.8755,38.2498,105.2493,19.8662,48.2946,17.1055,36.2869,21.9474,62.0958,70.2525,38.3013,149.269,52.5051,157.2456,85.2838,24.2144,70.0077,81.7269,65.3123,30.715
29,75.0922,30.3289,126.3987,102.03,24.8616,70.404,65.9573,209.8342,54.8131,151.3697,38.473,105.7032,19.9039,48.5068,17.076,36.2663,22.1151,62.3336,69.861,38.6211,150.5827,52.3337,158.0954,85.6596,24.0295,70.2173,81.7797,65.639,31.2299
30,76.3227,30.3214,126.1316,101.1524,24.5481,70.5304,66.4542,211.2393,54.6296,151.0541,38.712,105.8874,19.9336,48.554,16.8772,35.6996,22.1657,62.6106,69.4326,38.5799,151.3373,52.2941,158.4883,85.7506,23.9224,70.3404,81.6106,65.9769,30.9906
31,76.7203,30.0395,126.6177,101.0636,24.7255,70.8343,66.127,211.4126,54.5362,150.2194,38.9043,106.3211,19.9487,48.8265,16.9351,35.6009,22.3029,62.9151,68.7543,38.8367,150.5351,52.3572,159.0511,85.7727,23.9955,70.87,81.5769,66.0098,30.9354
32,76.4057,30.0767,126.8638,101.19,24.8498,70.5868,66.4633,211.0084,54.9104,149.7702,39.0646,106.4975,19.9657,48.9921,16.9694,35.6415,22.258,63.1796,68.8732,38.992,150.562,52.302,159.7235,86.257,23.9349,71.2955,81.535,66.2177,30.9484
33,76.19,30.394,127.0212,100.6589,24.9646,70.503,66.9811,210.7592,55.3944,150.2015,39.4066,106.6602,20.0071,49.2882,17.1304,35.6694,22.1723,63.574,69.0944,39.8549,151.5055,52.2523,159.4105,86.2819,24.0594,71.9388,82.2111,66.7222,31.0345
34,76.5846,30.4648,126.5451,100.2869,25.0122,70.3329,66.9645,211.8771,55.097,150.375,39.2409,107.1542,19.9775,49.3492,17.2056,35.6183,22.1325,63.4337,68.9975,39.7781,151.0034,52.2875,159.128,85.9196,24.0906,71.9882,83.1447,67.0797,30.853
35,76.8606,30.5549,126.672,101.0854,25.1408,69.7609,66.7258,215.1956,55.0114,150.3363,39.3142,107.7837,19.9397,49.7841,17.4424,36.0938,22.3337,64.1622,69.1644,39.9006,152.0611,52.8301,158.6744,85.8753,24.1366,72.9834,83.4643,67.7309,31.3372
36,77.3931,30.6194,127.5179,100.4859,24.6412,69.8305,66.1092,216.004,55.1934,150.5013,39.184,108.1661,19.9297,50.0019,17.3466,36.0836,22.2095,64.5554,69.1326,39.7761,152.0148,52.6404,158.8273,86.1603,24.1713,73.2159,83.9103,68.0629,31.2256
37,78.4427,30.8354,128.4884,101.9025,24.4829,70.5982,66.7776,213.3251,55.6838,152.0481,39.6201,108.3568,20.2287,50.4978,17.3513,36.3261,22.4787,64.7676,69.6291,40.1672,152.9756,52.8165,160.6054,86.8327,24.3641,74.0715,84.5187,68.9274,31.6149
38,77.9308,30.853,128.0338,102.7771,24.036,69.8184,66.2997,210.3223,55.84,151.9592,39.2987,108.2943,20.1563,50.2391,17.2493,36.0778,22.4777,64.4812,69.518,39.81,152.2852,52.6381,161.5707,86.7671,24.2863,73.6887,84.4553,68.9004,30.5461
39,78.5197,31.2539,131.1467,104.9524,24.109,70.4103,67.2311,209.2241,57.0917,154.4405,39.3557,109.2881,20.3733,50.8157,17.4392,36.5127,22.6478,64.9148,70.1937,39.7244,153.9828,52.8029,163.2715,87.8307,24.5734,74.4302,86.5671,69.7246,30.8551
40,77.6513,31.5858,132.8548,105.7235,24.0809,70.1657,68.0222,212.4689,57.762,156.3872,39.5443,110.0298,20.4549,50.9109,17.378,36.0506,22.508,64.9309,70.8413,39.2729,154.3943,52.8155,165.3242,87.9439,24.6213,74.5772,86.7266,69.4086,30.8446
41,78.5401,31.5843,133.0942,106.912,24.7108,71.6252,69.1189,213.4453,58.0002,157.1702,40.0059,111.1117,20.5686,51.3356,17.5687,36.2182,22.8463,65.2872,71.1495,39.7693,156.089,53.2524,168.0554,88.4473,24.8486,75.2597,87.1378,69.8188,31.2297
42,79.0075,31.6614,133.0815,107.8091,25.028,72.1654,70.1796,211.639,58.2026,155.458,40.4131,111.9138,20.6662,51.6531,17.6518,36.4869,23.2149,65.5798,71.6054,39.832,156.7304,53.5884,169.1249,88.3758,24.8385,75.5093,86.9788,70.4084,31.3503
43,79.7528,31.6199,133.4751,109.5461,25.3137,73.0729,70.7735,216.9118,58.3085,156.0854,40.8606,112.5382,20.8572,51.7983,17.7373,36.9722,23.193,66.3466,71.0125,40.2879,157.3497,54.0063,170.3209,88.4103,24.8026,76.0653,87.3071,71.0241,31.5218
44,80.3658,31.7406,134.6887,110.4815,25.529,73.7306,70.9895,220.3885,58.9348,156.469,41.4618,112.9629,21.1716,51.5946,18.0069,37.6137,23.4311,67.1335,70.0042,41.0091,158.7234,54.296,173.6944,88.6577,24.8621,76.4323,87.4493,70.9683,31.7335
45,80.5064,31.5785,135.0775,110.3877,25.2775,73.251,71.072,218.6413,58.9275,157.3112,41.3935,113.4294,21.1569,51.6728,17.8493,37.1368,23.2609,67.3018,69.856,41.1332,158.166,54.5906,173.3676,88.324,24.8438,76.7608,87.2881,70.9801,31.7854
46,80.0995,31.5428,133.6516,109.0014,24.4358,73.7042,70.6456,211.2429,58.3416,155.8855,41.0651,111.927,21.0287,51.5454,17.4819,36.6261,22.9627,66.5847,69.3795,40.857,156.4092,53.782,172.0083,86.8638,24.6546,77.2094,86.4513,70.9411,30.8768
47,80.1263,31.3557,133.5452,109.4314,24.3028,73.684,71.1584,214.952,58.4543,155.8252,41.4221,111.868,21.1811,52.1021,17.4833,36.8247,22.9887,66.9843,69.3014,41.167,156.3755,54.0966,173.5665,87.5041,24.8639,77.1714,86.9811,71.5001,30.7311
48,79.7941,30.9565,131.7208,108.9268,23.6798,73.0975,71.3253,212.6354,57.6368,153.6122,41.197,110.5245,21.0049,51.8711,17.3076,36.3678,22.5925,66.346,68.3501,40.7863,155.9281,53.0453,172.5355,86.2762,24.4567,77.3552,86.1343,71.2035,29.6424
49,79.7083,30.903,131.7252,109.0386,23.5777,74.0314,71.8712,209.8975,57.8891,154.0506,41.1883,110.7014,21.0172,51.5324,17.2455,36.4463,22.5398,66.2081,68.4076,40.6243,156.3877,52.954,172.7608,86.1909,24.4287,77.4921,85.1405,71.1644,29.1877
50,80.9653,31.0641,132.5096,109.7366,23.5753,74.799,73.1145,209.9916,57.872,154.3656,41.7787,112.8647,21.3358,52.3771,17.4755,36.521,22.8199,67.0275,68.594,41.3536,158.3487,53.7757,175.0999,87.7161,24.4869,78.5947,85.7764,72.2334,29.8462
51,81.0874,31.0537,132.2972,109.0296,23.6148,74.7,73.1646,212.8526,57.7304,154.2092,41.6054,113.2165,21.4358,52.6101,17.6034,36.7125,22.8184,66.8199,68.6221,41.49,157.8876,53.7987,175.4256,86.7114,24.3806,78.8624,86.5081,72.5532,29.8295
52,81.8409,30.986,131.7447,108.5016,24.0962,74.7714,73.6831,218.2564,57.7112,153.8252,41.6447,113.9314,21.7229,53.0356,17.9616,37.1064,22.9024,67.0722,68.6214,41.9551,158.5569,53.8022,176.0133,87.839,24.4288,79.3374,86.7449,73.2959,30.7395
53,81.0848,31.0866,132.2698,108.3125,24.4084,73.9329,73.0084,211.0101,57.7946,153.232,41.765,113.8558,21.8448,53.16,17.8961,37.2794,23.0015,67.4376,68.5836,42.7172,159.2545,54.0642,176.4395,88.342,24.5982,79.1096,87.0725,73.6643,31.2993
54,83.3951,31.0276,131.3779,108.2089,24.7772,78.047,72.4333,213.4625,57.3824,152.955,41.6647,114.6691,21.8736,53.0067,17.9239,37.4746,23.1274,68.1193,68.5143,41.5473,159.0553,54.4954,176.0456,88.8571,24.3782,78.9617,86.7055,73.7495,31.3237
55,82.9107,30.788,130.3941,107.9153,24.2342,77.7785,70.2222,210.8493,56.6865,152.852,41.9749,114.3003,21.8617,52.8489,17.7999,37.4386,23.1198,68.7145,68.1882,41.5971,159.9987,54.6386,175.9191,88.4218,24.1969,78.5426,86.1836,73.5726,31.0236
56,82.8691,30.9764,130.8532,108.7823,24.4515,76.5751,69.4569,212.5287,56.9796,154.1601,42.8635,114.9659,21.9727,53.0036,17.812,37.2811,23.4068,69.243,68.5996,41.6783,161.4166,55.1622,175.9337,88.6544,24.4222,78.8797,86.6334,74.0403,30.4108
57,83.6001,31.0707,132.0547,108.933,24.1867,77.0844,70.117,212.5027,57.7092,156.15,43.1582,116.2853,22.567,53.1926,18.1405,37.4821,23.6182,69.6212,68.7041,41.8063,164.0314,55.6676,177.0613,90.0179,24.4294,79.3765,87.3418,74.594,30.3895
58,83.53,31.0252,133.5776,108.5824,24.1371,77.3575,69.9435,216.0615,57.0579,156.635,43.6464,116.0842,22.6961,53.3514,18.2392,37.4819,23.7237,69.1683,68.3144,41.8382,165.089,55.7171,177.3095,89.11,24.5038,79.7454,87.4369,75.0542,30.2011
59,83.7687,31.0859,131.2584,109.1099,24.1093,77.6595,69.4494,215.6599,56.71,153.8564,43.9223,116.7167,22.8429,53.0817,18.3506,38.1254,24.1029,69.4171,68.6034,42.2323,165.9325,56.4191,178.1466,89.112,24.4066,80.0554,87.3885,75.6144,30.2559
60,83.6706,30.3444,130.5164,108.8551,24.2511,78.3066,68.7812,215.6287,56.2632,155.0358,44.1861,117.3158,22.9428,53.4911,18.433,38.7808,24.5055,70.012,69.5639,42.6827,166.4592,57.2225,179.4062,89.7045,24.3701,80.275,87.3258,75.0935,30.711
61,83.1137,30.9927,130.3764,109.1511,24.2276,77.8668,68.4191,214.8848,56.1846,154.7246,44.2186,117.2873,23.2207,53.5395,18.4215,38.6757,24.6055,70.7532,70.4371,42.7436,166.5048,57.7783,179.4509,90.7103,24.4061,80.3691,87.7972,75.1505,30.9031
62,83.3927,31.2321,132.4655,109.7632,24.4886,78.2368,68.8266,216.5477,57.032,157.0833,44.2348,116.7675,22.8215,53.8295,18.5332,38.7157,24.8613,70.457,71.0476,42.9338,166.7824,58.1892,178.6898,90.7022,24.7929,80.5645,86.5674,75.4674,31.3148
63,84.5395,31.2915,132.6222,110.2336,24.5175,78.8729,68.748,222.5927,57.4613,158.0036,44.1037,116.4862,22.8241,52.82,18.5382,39.1083,24.9389,70.0606,71.3223,43.0268,165.775,58.7118,179.7053,90.7842,25.0744,79.7067,87.3367,74.3072,31.2679
64,83.786,31.4445,132.7001,110.1433,24.3908,78.9887,65.5685,219.8806,57.3046,158.9809,44.2517,116.2887,22.7581,51.9693,18.3551,39.4496,24.8865,69.8562,71.608,42.9257,165.0875,58.5771,179.282,90.3947,25.3414,78.8287,86.3365,74.2978,31.7972
65,83.2241,31.8472,132.9108,110.6143,24.1677,78.836,65.6672,223.309,57.4576,161.4354,44.009,116.2717,22.7019,51.8385,18.4773,39.5233,24.9569,70.2068,71.8682,43.1383,164.8208,58.3349,179.1875,90.1221,25.6464,79.0441,86.0691,75.1975,31.5072
66,83.2811,32.1082,134.2717,110.9013,24.0751,78.8776,66.3333,225.1817,58.3291,163.2416,43.6876,116.7897,22.8068,51.9391,18.4235,39.4111,24.911,70.2287,72.2727,43.2917,164.8354,58.1731,179.7602,90.723,25.8229,79.7092,86.415,75.6664,30.955
67,83.7025,32.6027,136.113,110.6513,24.408,79.4579,65.9204,228.3685,59.2194,164.3709,43.8914,117.1193,22.8512,53.0894,18.4509,39.3621,24.8146,70.3879,72.8853,43.3062,164.9846,58.303,179.2815,90.9457,26.1561,80.3603,86.8186,76.0272,31.8975
68,83.9824,32.7543,136.5286,111.067,24.9357,79.4762,64.1377,229.9942,59.1606,165.1462,44.0772,117.6104,22.782,53.9935,18.6034,39.1391,24.6886,70.4141,73.0378,43.6952,166.3994,58.451,178.8083,91.0713,26.2685,81.389,87.6407,76.752,32.1677
69,83.4928,33.0004,138.4277,111.5635,24.9634,78.1957,63.6975,228.1933,59.6954,166.9206,44.0945,117.0853,22.9207,54.0469,18.6227,38.7047,24.3178,70.2221,73.4777,43.878,166.1509,57.782,178.0586,91.3165,26.4666,81.2321,87.8332,76.9384,31.9868
70,83.9976,33.0603,138.4564,111.9014,24.7298,77.8129,63.2933,227.4772,59.4367,167.166,44.2828,116.671,22.9379,54.254,18.7297,38.6958,24.2223,70.3194,73.787,43.8262,166.8118,57.8145,179.0533,91.7515,26.478,81.5406,87.4334,77.6254,32.3268
71,84.1505,33.0334,140.2345,113.2872,24.749,77.2618,63.3094,224.8645,60.0366,168.6122,44.3949,116.754,22.9702,54.6126,18.559,38.4789,24.1101,70.7019,74.1171,44.0752,166.8388,57.3337,178.9774,92.9579,26.5668,82.307,87.5517,77.7353,32.4716
72,84.8886,33.2724,141.3913,114.4005,24.9251,76.8207,64.0195,223.7407,60.6822,170.3862,44.8581,117.5155,22.9305,55.1607,18.5374,38.4916,24.2301,70.7973,74.5734,44.6158,167.4689,57.7414,180.3829,94.502,26.8372,82.8982,87.7931,78.7217,32.4974
73,82.9113,32.6042,140.0438,113.9212,24.6787,74.9116,63.5626,219.3662,59.6709,168.3857,44.1909,115.8267,22.4371,54.9509,18.4599,38.1505,23.9738,70.1372,73.4403,44.3221,164.8139,56.822,177.6292,93.1733,26.338,81.833,86.6329,78.5385,32.6466
74,81.301,31.8749,137.8982,112.3785,23.8928,73.2071,62.8802,215.4757,59.2943,165.2165,43.4045,111.5813,21.5599,52.34,17.9436,37.1737,23.329,67.3048,72.0583,42.3543,160.1988,54.7758,174.0146,90.8518,25.3466,78.3887,84.077,74.8306,31.9972
75,81.4969,31.5478,138.0478,112.1348,23.4158,73.4086,62.7152,214.0842,60.0288,163.3946,43.1749,112.4898,21.3826,50.7781,18.0365,36.7655,23.1814,66.4694,71.7735,42.1619,161.7958,54.3227,173.3708,90.7195,25.09,76.3369,83.6894,73.573,31.7882
76,82.1106,31.4054,137.2657,111.97,23.8174,73.9987,62.6764,212.49,60.0971,163.7322,43.3792,112.9299,21.2974,49.9903,18.341,37.102,22.9828,66.8862,71.4168,42.544,161.6289,53.9552,175.8248,90.7223,25.2578,75.8362,84.1295,72.7333,32.0301
77,79.6639,30.3531,135.3191,109.7298,23.3918,71.1374,60.8523,204.8978,58.3184,160.8574,42.2552,109.9739,20.7491,48.1426,18.0024,36.4847,22.4929,65.5731,69.4156,41.7552,157.7307,52.1202,171.5039,89.0016,24.5958,72.4049,82.5396,69.9939,30.7022
78,79.1863,30.4133,134.6713,108.8205,23.4576,72.1974,61.1802,204.3876,57.9385,159.5803,42.3838,109.6214,20.9159,48.0604,17.9557,36.4168,22.3519,66.0228,68.953,41.3925,154.84,52.1563,171.012,88.6912,24.5334,72.8485,81.7865,69.6303,29.9787
79,78.4402,30.2819,132.8952,107.2938,23.2928,71.8832,61.0522,202.7298,56.7503,157.7876,42.0459,108.2131,20.596,47.4448,17.9166,36.0712,22.195,65.3181,68.1575,40.4552,152.2313,51.9175,167.5853,87.6719,24.5087,71.7742,80.3656,68.2354,29.9749
80,77.6722,30.9076,134.8183,107.9154,23.0753,70.9081,59.6662,201.9765,57.1421,158.7466,42.1596,108.098,20.487,47.79,17.7149,35.1523,22.1277,64.0931,65.837,40.3733,154.5096,51.5766,166.5107,86.8603,24.8843,71.1418,80.4457,67.9828,30.0281
81,77.264,30.6624,136.0385,109.1521,23.0983,70.4137,59.2282,196.8781,57.1529,157.1609,41.7438,107.5795,20.2399,47.5098,17.4483,34.8592,21.9494,63.2724,66.7671,39.7656,152.5781,51.1202,166.0746,86.3792,24.7146,70.7795,80.5478,68.0898,29.5267
82,76.4126,30.1025,134.7709,108.0665,22.7109,69.6301,60.7,199.843,56.9416,154.5706,41.9196,106.3253,19.9732,46.7131,17.0781,34.3922,21.5158,61.9824,66.715,38.9726,150.9914,50.3367,164.3794,85.5244,24.4437,69.7196,79.2434,67.0122,28.5065
83,77.3095,29.8748,134.1603,108.6303,22.8817,70.2336,62.0952,202.2833,56.5049,154.9395,42.2932,106.6463,20.3534,47.166,17.1513,34.0544,21.6301,62.4118,66.8272,38.9073,152.2871,50.7786,165.4236,86.2888,24.44,70.4368,79.7744,67.4452,28.5764
84,78.146,29.8006,133.7285,109.3288,23.3579,70.3325,60.2043,191.476,56.3782,155.18,42.701,106.8696,20.6621,47.338,17.3556,28.6545,21.9449,62.7947,65.7743,39.0074,153.2136,51.1971,166.6682,86.8157,24.4106,71.0578,81.3497,68.0784,29.0061
85,77.1408,29.6116,133.6696,109.6231,23.2211,69.402,61.5294,197.0352,56.2326,156.3511,42.6449,106.938,20.6422,46.8121,17.3689,28.9079,22.1992,62.8349,65.6445,38.4015,150.8555,51.7119,165.6139,87.4881,24.3504,70.6589,81.3417,67.5485,29.0243
86,75.7813,28.3638,131.8216,107.3989,22.9584,69.2919,61.481,196.777,55.301,154.6601,42.2323,105.8089,20.5079,46.3279,16.9613,28.939,22.0181,61.8219,64.8516,37.7076,149.3553,50.8943,163.0023,86.7337,23.9436,70.3188,80.2341,67.0438,28.7648
87,75.3444,28.5359,130.0234,106.9768,22.7619,68.4263,59.0461,190.3753,54.9574,152.964,41.3023,104.8354,20.2777,45.7719,16.6385,28.9819,21.8261,61.284,64.8027,37.3589,147.9464,50.4304,160.3998,86.795,23.8118,69.0903,79.7813,65.9925,28.0552
88,75.6517,28.8869,133.0568,109.5911,22.7087,68.7873,59.4884,189.3937,55.9464,155.8977,41.719,104.7387,20.6278,45.6808,16.7767,28.9451,21.9953,62.3117,65.0666,37.7589,151.0208,51.1198,163.9412,88.8957,24.2393,69.0316,81.5267,66.2963,28.2315
89,77.5871,28.9984,134.5805,110.9971,22.8241,70.3864,60.7578,191.0766,56.413,156.946,42.2644,106.1677,20.847,46.0901,17.1868,28.886,22.0549,62.4037,64.9617,38.5666,151.9948,51.5559,166.426,91.1988,24.2932,70.4792,82.9818,67.3942,28.4382
90,77.0515,28.835,134.4153,110.9202,22.7705,70.3952,61.6786,191.8725,56.3682,155.7138,43.0058,105.7418,20.8769,45.8495,17.287,28.9974,22.0211,62.4313,64.8444,38.6274,153.4066,51.1381,167.4221,91.5019,24.2933,71.2478,83.3336,67.5988,28.9312
91,77.6084,28.9663,135.0202,111.3416,23.0311,71.2828,61.672,192.0227,56.6786,156.0552,43.4701,105.1838,21.0538,46.004,17.2865,28.9628,22.185,62.6426,65.3146,38.4636,152.9545,51.1197,167.6817,91.7407,24.4848,71.6201,83.8442,68.1765,28.3187
92,75.4175,28.5508,132.7796,109.075,22.4378,70.3126,60.5192,187.7923,55.7067,154.28,42.995,102.3116,20.8621,44.8828,16.9385,28.7731,21.9827,61.6213,64.3784,37.4788,151.0552,49.6903,163.405,90.1769,24.1803,69.7495,82.1699,66.5375,26.9098
93,71.3429,27.6497,128.3664,102.3402,21.6911,67.9484,57.2695,179.8148,53.4079,149.2491,41.0397,97.4706,19.8246,42.2694,16.1177,27.9152,20.7914,58.6696,62.0012,36.0532,146.7064,47.46,156.4346,85.335,23.2504,65.4978,77.7418,63.065,27.1675
94,71.881,27.9802,131.0251,101.7125,21.437,68.1296,57.6212,177.1645,54.5386,151.6391,41.607,96.8355,19.5662,42.7463,16.1583,26.934,20.7959,58.364,62.0935,36.0453,149.1574,46.8676,156.5631,85.4225,23.7391,65.3138,77.9769,63.0558,27.334
95,70.7065,27.9557,133.0062,102.3912,21.2967,67.4791,57.8798,175.496,55.1531,152.8055,41.2668,96.3635,19.2217,42.4325,15.9823,26.2319,20.7122,57.8221,62.3268,35.7804,149.1579,46.8972,155.3062,84.7435,24.0403,65.2107,77.7989,63.1054,26.9054
